packet_length,timestamp,has_ip,has_tcp,has_udp,has_icmp,has_modbus,ip_version,ip_header_length,ip_tos,ip_total_length,ip_identification,ip_flags,ip_fragment_offset,ip_ttl,ip_protocol,ip_checksum,src_ip_int,dst_ip_int,src_ip_private,dst_ip_private,src_ip_multicast,dst_ip_multicast,tcp_src_port,tcp_dst_port,tcp_sequence,tcp_acknowledgment,tcp_header_length,tcp_flags,tcp_window_size,tcp_checksum,tcp_urgent_pointer,tcp_flag_fin,tcp_flag_syn,tcp_flag_rst,tcp_flag_psh,tcp_flag_ack,tcp_flag_urg,tcp_flag_ece,tcp_flag_cwr,tcp_payload_size,udp_src_port,udp_dst_port,udp_length,udp_checksum,udp_payload_size,icmp_type,icmp_code,icmp_checksum,icmp_id,icmp_sequence,modbus_transaction_id,modbus_protocol_id,modbus_length,modbus_unit_id,modbus_function_code,modbus_is_request,modbus_is_response,payload_length,payload_entropy,payload_mean,payload_std,payload_min,payload_max,payload_printable_ratio,payload_null_ratio,packet_size_log,packet_size_sqrt,timestamp_hour,timestamp_minute,timestamp_second,timestamp_microsecond,label,category,file_name
60,1526916929.186542,1,1,0,0,0,4,20,0,40,26670,0,0,64,6,47220,2887508218,2887508219,1,1,0,0,502,57476,3812578157,274818492,20,0,8712,58457,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,5,tcpSYNFloodDDoS,eth2dump-tcpSYNFloodDDoS15m-1h_1.pcap
66,1536440180.168056,1,1,0,0,1,4,20,0,52,9759,0,0,128,6,47916,2887508038,2887508218,1,1,0,0,49205,502,1777225270,4026631558,20,0,65330,42536,0,0,0,0,1,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean,eth2dump-clean-1h_1.pcap
85,1536430516.465104,1,1,0,0,1,4,20,0,71,43102,0,0,64,6,30938,2887508218,2887508038,1,1,0,0,502,49205,4025703511,1776866038,20,0,8712,62138,0,0,0,0,1,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,25,1,3,0,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean,eth2dump-clean-6h_1.pcap
60,1527078515.374003,1,1,0,0,0,4,20,0,40,2112,0,0,128,6,55575,2887508038,2887508218,1,1,0,0,50789,502,1905498154,1962565507,20,0,65268,61647,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,modbusQueryFlooding,eth2dump-modbusQueryFlooding5m-1h_1.pcap
60,1527207170.402423,1,1,0,0,0,4,20,0,41,30623,0,0,128,6,26882,2887508219,2887508218,1,1,0,0,50953,502,3324510643,906983300,20,0,2048,18735,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,5,tcpSYNFloodDDoS,eth2dump-tcpSYNFloodDDoS15m-6h_1.pcap
60,1527622347.600753,1,1,0,0,0,4,20,0,41,16645,0,0,128,6,40860,2887508219,2887508218,1,1,0,0,50131,502,3924148926,4172228242,20,0,2048,64493,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,5,tcpSYNFloodDDoS,eth2dump-tcpSYNFloodDDoS30m-1h_1.pcap
60,1529551438.217022,1,1,0,0,0,4,20,0,41,33863,0,0,128,6,23642,2887508219,2887508218,1,1,0,0,51142,502,4094582702,2734155320,20,0,2048,57587,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,modbusQuery2Flooding,eth2dump-modbusQuery2Flooding-15m-12h_1.pcap
60,1526920663.736082,1,1,0,0,0,4,20,0,41,15752,0,0,128,6,41753,2887508219,2887508218,1,1,0,0,50079,502,1349909185,2885617400,20,0,2048,50137,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,5,tcpSYNFloodDDoS,eth2dump-tcpSYNFloodDDoS5m-1h_1.pcap
60,1527082015.989481,1,1,0,0,0,4,20,0,41,15167,0,0,128,6,42338,2887508219,2887508218,1,1,0,0,53900,502,2663265050,2988409990,20,0,2048,43676,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,modbusQueryFlooding,eth2dump-modbusQueryFlooding1m-1h_1.pcap
60,1526983388.931758,1,1,0,0,0,4,20,0,40,19766,0,0,128,6,37740,2887508219,2887508218,1,1,0,0,50317,502,734847869,3310146597,20,0,2048,7783,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,modbusQueryFlooding,"eth2dump-modbusQueryFlooding15m-0,5h_1.pcap"
60,1527338457.49616,1,1,0,0,0,4,20,0,41,14411,0,0,128,6,43094,2887508219,2887508218,1,1,0,0,61556,502,2772734281,1038006034,20,0,2048,28596,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,modbusQueryFlooding,eth2dump-modbusQueryFlooding30m-6h_1.pcap
60,1529550873.078165,1,1,0,0,0,4,20,0,41,30534,0,0,128,6,26971,2887508219,2887508218,1,1,0,0,50947,502,2850195423,2454153911,20,0,2048,38371,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,modbusQuery2Flooding,eth2dump-modbusQuery2Flooding-5m-12h_1.pcap
60,1527273685.11509,1,1,0,0,0,4,20,0,40,29990,0,0,128,6,27697,2887508038,2887508218,1,1,0,0,50891,502,3333161416,3570212770,20,0,65237,4576,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,modbusQueryFlooding,eth2dump-modbusQueryFlooding1m-6h_1.pcap
66,1526901368.945126,1,1,0,0,1,4,20,0,52,13072,0,0,64,6,60806,2887508218,2887508219,1,1,0,0,502,52114,338135307,2122902525,20,0,8712,40216,0,0,0,0,1,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,6,1,6,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,4,pingFloodDDoS,"eth2dump-pingFloodDDoS15m-0,5h_1.pcap"
60,1527228743.932738,1,1,0,0,0,4,20,0,41,5788,0,0,128,6,51717,2887508219,2887508218,1,1,0,0,49493,502,681916705,3872200269,20,0,2048,27249,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,5,tcpSYNFloodDDoS,eth2dump-tcpSYNFloodDDoS5m-6h_1.pcap
66,1527074888.187003,1,1,0,0,1,4,20,0,52,16318,0,0,128,6,41357,2887508038,2887508218,1,1,0,0,50573,502,2407732116,292554522,20,0,65330,4828,0,0,0,0,1,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,2,modbusQueryFlooding,eth2dump-modbusQueryFlooding15m-1h_1.pcap
60,1529550413.041308,1,1,0,0,0,4,20,0,40,14013,0,0,128,6,43674,2887508038,2887508218,1,1,0,0,49179,502,1641097674,2441590668,20,0,64927,507,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,modbusQuery2Flooding,eth2dump-modbusQuery2Flooding-1m-12h_1.pcap
60,1526924300.070195,1,1,0,0,0,4,20,0,40,3284,0,0,64,6,21455,2887508218,2887508219,1,1,0,0,502,50267,2780777750,0,20,0,0,56459,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,5,tcpSYNFloodDDoS,eth2dump-tcpSYNFloodDDoS1m-1h_1.pcap
60,1527622328.768083,1,1,0,0,0,4,20,0,40,16530,0,0,128,6,40976,2887508219,2887508218,1,1,0,0,50124,502,3417112350,3528148759,20,0,2036,58305,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,5,tcpSYNFloodDDoS,eth2dump-tcpSYNFloodDDoS30m-1h_1.pcap
60,1527543597.491778,1,1,0,0,0,4,20,0,41,36843,0,0,128,6,20662,2887508219,2887508218,1,1,0,0,55170,502,3953474998,3922650924,20,0,2048,47565,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,4,pingFloodDDoS,eth2dump-pingFloodDDoS5m-6h_1.pcap
